ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year
{10DAF7A3-6208-4C44-AEA6-8FA3DC4BBD5A},53000,1995-01-05 00:00,IG3 9RA,T,N,F,62,,HAZELDENE ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,407.378939277479,1995.0,1995-01-05,T,F,53000.0,IG3 9RA,E09000026,{10DAF7A3-6208-4C44-AEA6-8FA3DC4BBD5A},21009192.0,130.1,6.0,12.0,58.0,62.0,England and Wales: 1900-1929,407.378939277479,6.0,130.1,58.0,England and Wales: 1900-1929,IG3,1995
{F43CDD1B-7257-4AC5-B1A1-801E71465429},58000,1995-01-05 00:00,IG3 9YB,T,N,F,5,,GUILDFORD ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,682.352941176471,1995.0,1995-01-05,T,F,58000.0,IG3 9YB,E09000026,{F43CDD1B-7257-4AC5-B1A1-801E71465429},21068229.0,85.0,5.0,12.0,67.0,87.0,England and Wales: 1930-1949,682.352941176471,5.0,85.0,67.0,England and Wales: 1930-1949,IG3,1995
{4435E97D-CF8A-4BED-9984-DCA8A59F3BCA},80000,1995-01-06 00:00,IG3 9BJ,T,N,F,85,,MEADWAY,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,784.313725490196,1995.0,1995-01-06,T,F,80000.0,IG3 9BJ,E09000026,{4435E97D-CF8A-4BED-9984-DCA8A59F3BCA},21062481.0,102.0,5.0,11.0,56.0,82.0,England and Wales: 1900-1929,784.313725490196,5.0,102.0,56.0,England and Wales: 1900-1929,IG3,1995
{FA1E0823-ACE0-4EC9-A837-37D81638469D},51000,1995-01-06 00:00,IG3 8AJ,T,N,F,25,,NORTH ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,398.4375,1995.0,1995-01-06,T,F,51000.0,IG3 8AJ,E09000026,{FA1E0823-ACE0-4EC9-A837-37D81638469D},21097530.0,128.0,6.0,11.0,57.0,82.0,England and Wales: 1900-1929,398.4375,6.0,128.0,57.0,England and Wales: 1900-1929,IG3,1995
{AD175486-B42B-438A-A8D2-AA719603C731},61000,1995-01-12 00:00,IG3 8AH,T,N,F,23,,CLAREMONT GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,782.051282051282,1995.0,1995-01-12,T,F,61000.0,IG3 8AH,E09000026,{AD175486-B42B-438A-A8D2-AA719603C731},21022903.0,78.0,4.0,11.0,60.0,81.0,England and Wales: 1900-1929,782.051282051282,4.0,78.0,60.0,England and Wales: 1900-1929,IG3,1995
{2A289E9D-9281-CDC8-E050-A8C063054829},50000,1995-01-12 00:00,IG3 8XR,S,N,F,198,,BARLEY LANE,,ILFORD,REDBRIDGE,GREATER LONDON,452.898550724638,1995.0,1995-01-12,S,F,50000.0,IG3 8XR,E09000026,{2A289E9D-9281-CDC8-E050-A8C063054829},21055499.0,110.4,5.0,12.0,57.0,65.0,England and Wales: 1930-1949,452.898550724638,5.0,110.4,57.0,England and Wales: 1930-1949,IG3,1995
{253A0710-BA69-477D-8697-2DBC5A0D65ED},57500,1995-01-12 00:00,IG3 8AH,T,N,F,23,,CLAREMONT GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,737.179487179487,1995.0,1995-01-12,T,F,57500.0,IG3 8AH,E09000026,{253A0710-BA69-477D-8697-2DBC5A0D65ED},21022903.0,78.0,4.0,11.0,60.0,81.0,England and Wales: 1900-1929,737.179487179487,4.0,78.0,60.0,England and Wales: 1900-1929,IG3,1995
{8E7A2692-45E4-457B-BDE1-67EA5BAE1793},127000,1995-01-12 00:00,IG3 9ND,D,N,F,52,,BREAMORE ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,841.059602649007,1995.0,1995-01-12,D,F,127000.0,IG3 9ND,E09000026,{8E7A2692-45E4-457B-BDE1-67EA5BAE1793},21054927.0,151.0,8.0,12.0,40.0,73.0,England and Wales: 1976-1982,841.059602649007,8.0,151.0,40.0,England and Wales: 1976-1982,IG3,1995
{488BBCAB-FF56-4F61-AE90-A7AB6C1DDC61},67000,1995-01-15 00:00,IG3 8TN,S,N,F,7,,GOODMAYES AVENUE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,592.920353982301,1995.0,1995-01-15,S,F,67000.0,IG3 8TN,E09000026,{488BBCAB-FF56-4F61-AE90-A7AB6C1DDC61},21030083.0,113.0,6.0,11.0,56.0,83.0,England and Wales: 1930-1949,592.920353982301,6.0,113.0,56.0,England and Wales: 1930-1949,IG3,1995
{F6B2A194-F9FE-4FEF-BC96-4EF53E9E4621},68000,1995-01-19 00:00,IG3 8AQ,T,N,F,10,,KENT VIEW GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,745.287154756686,1995.0,1995-01-19,T,F,68000.0,IG3 8AQ,E09000026,{F6B2A194-F9FE-4FEF-BC96-4EF53E9E4621},21070470.0,91.24,5.0,12.0,57.0,67.0,England and Wales: 1930-1949,745.287154756686,5.0,91.24,57.0,England and Wales: 1930-1949,IG3,1995
{F5D520F7-740D-46AA-B9A1-87185F9D621E},60000,1995-01-19 00:00,IG3 8AQ,T,N,F,10,,KENT VIEW GARDENS,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,657.606313020605,1995.0,1995-01-19,T,F,60000.0,IG3 8AQ,E09000026,{F5D520F7-740D-46AA-B9A1-87185F9D621E},21070470.0,91.24,5.0,12.0,57.0,67.0,England and Wales: 1930-1949,657.606313020605,5.0,91.24,57.0,England and Wales: 1930-1949,IG3,1995
{2A289E9C-E312-CDC8-E050-A8C063054829},45000,1995-01-24 00:00,IG3 8TX,F,N,L,WELLMEAD,11,WELLWOOD ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,558.797963491866,1995.0,1995-01-24,F,L,45000.0,IG3 8TX,E09000026,{2A289E9C-E312-CDC8-E050-A8C063054829},21017289.0,80.53,3.0,12.0,71.0,80.0,England and Wales: 1967-1975,558.797963491866,3.0,80.53,71.0,England and Wales: 1967-1975,IG3,1995
{435B26AF-50C3-41B0-9F7D-6138C06061B3},63000,1995-01-24 00:00,IG3 8NN,T,N,F,56,,ST ALBANS ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,420.0,1995.0,1995-01-24,T,F,63000.0,IG3 8NN,E09000026,{435B26AF-50C3-41B0-9F7D-6138C06061B3},21078365.0,150.0,6.0,11.0,68.0,81.0,England and Wales: 1900-1929,420.0,6.0,150.0,68.0,England and Wales: 1900-1929,IG3,1995
{3A512829-E297-4F11-BCA2-E3DD34591FEB},67000,1995-01-27 00:00,IG3 9BJ,T,N,F,100,,MEADWAY,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,489.051094890511,1995.0,1995-01-27,T,F,67000.0,IG3 9BJ,E09000026,{3A512829-E297-4F11-BCA2-E3DD34591FEB},21064701.0,137.0,5.0,11.0,61.0,83.0,England and Wales: 1930-1949,489.051094890511,5.0,137.0,61.0,England and Wales: 1930-1949,IG3,1995
{6C494E9A-049F-4863-B9DA-98D597D49FCF},80000,1995-01-31 00:00,IG3 9SQ,T,N,F,600A,,GREEN LANE,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,1538.46153846154,1995.0,1995-01-31,T,F,80000.0,IG3 9SQ,E09000026,{6C494E9A-049F-4863-B9DA-98D597D49FCF},21047632.0,52.0,2.0,12.0,63.0,75.0,England and Wales: before 1900,1538.46153846154,2.0,52.0,63.0,England and Wales: before 1900,IG3,1995
{2A289E9E-4236-CDC8-E050-A8C063054829},34000,1995-01-31 00:00,IG3 9NP,F,N,L,BREAMORE COURT,31,BREAMORE ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,829.268292682927,1995.0,1995-01-31,F,L,34000.0,IG3 9NP,E09000026,{2A289E9E-4236-CDC8-E050-A8C063054829},21056173.0,41.0,2.0,11.0,71.0,78.0,England and Wales: 1950-1966,829.268292682927,2.0,41.0,71.0,England and Wales: 1950-1966,IG3,1995
{811F2442-F8DB-4F2D-B6A1-9BA5CF963D37},52000,1995-01-31 00:00,IG3 9HB,T,N,F,66,,RIPLEY ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,590.909090909091,1995.0,1995-01-31,T,F,52000.0,IG3 9HB,E09000026,{811F2442-F8DB-4F2D-B6A1-9BA5CF963D37},21019639.0,88.0,6.0,11.0,60.0,86.0,England and Wales: 1900-1929,590.909090909091,6.0,88.0,60.0,England and Wales: 1900-1929,IG3,1995
{2A289E9E-5D15-CDC8-E050-A8C063054829},49000,1995-02-01 00:00,IG3 9HA,T,N,F,37,,RIPLEY ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,653.333333333333,1995.0,1995-02-01,T,F,49000.0,IG3 9HA,E09000026,{2A289E9E-5D15-CDC8-E050-A8C063054829},21085271.0,75.0,5.0,11.0,66.0,88.0,England and Wales: 1900-1929,653.333333333333,5.0,75.0,66.0,England and Wales: 1900-1929,IG3,1995
{AC753BD0-43B0-4014-B2A4-7B55F9C20CC8},65400,1995-02-03 00:00,IG3 8PW,T,N,F,34,,SPENCER ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,646.692376149511,1995.0,1995-02-03,T,F,65400.0,IG3 8PW,E09000026,{AC753BD0-43B0-4014-B2A4-7B55F9C20CC8},21037556.0,101.13,6.0,12.0,69.0,80.0,England and Wales: 1930-1949,646.692376149511,6.0,101.13,69.0,England and Wales: 1930-1949,IG3,1995
{2A289E9D-92AA-CDC8-E050-A8C063054829},50000,1995-02-07 00:00,IG3 8ER,T,N,F,32,,LOMBARD AVENUE,,ILFORD,REDBRIDGE,GREATER LONDON,617.283950617284,1995.0,1995-02-07,T,F,50000.0,IG3 8ER,E09000026,{2A289E9D-92AA-CDC8-E050-A8C063054829},21028146.0,81.0,5.0,11.0,57.0,83.0,England and Wales: 1900-1929,617.283950617284,5.0,81.0,57.0,England and Wales: 1900-1929,IG3,1995
{F7EF7952-60BE-43D7-A491-3E193584A436},52000,1995-02-10 00:00,IG3 8AZ,T,N,F,4,,ELMSTEAD ROAD,ILFORD,ILFORD,REDBRIDGE,GREATER LONDON,684.210526315789,1995.0,1995-02-10,T,F,52000.0,IG3 8AZ,E09000026,{F7EF7952-60BE-43D7-A491-3E193584A436},21038996.0,76.0,4.0,11.0,59.0,83.0,England and Wales: 1900-1929,684.210526315789,4.0,76.0,59.0,England and Wales: 1900-1929,IG3,1995
{2A289E9F-25A9-CDC8-E050-A8C063054829},37500,1995-02-13 00:00,IG3 8NF,F,N,L,65,,LANSDOWNE ROAD,,ILFORD,REDBRIDGE,GREATER LONDON,721.153846153846,1995.0,1995-02-13,F,L,37500.0,IG3 8NF,E09000026,{2A289E9F-25A9-CDC8-E050-A8C063054829},21085113.0,52.0,2.0,11.0,68.0,73.0,England and Wales: 1900-1929,721.153846153846,2.0,52.0,68.0,England and Wales: 1900-1929,IG3,1995
{2A289E9C-FD35-CDC8-E050-A8C063054829},44000,1995-02-15 00:00,IG3 8HT,F,N,L,139,,ALDBOROUGH ROAD SOUTH,,ILFORD,REDBRIDGE,GREATER LONDON,709.677419354839,1995.0,1995-02-15,F,L,44000.0,IG3 8HT,E09000026,{2A289E9C-FD35-CDC8-E050-A8C063054829},21013063.0,62.0,3.0,11.0,66.0,78.0,England and Wales: 1930-1949,709.677419354839,3.0,62.0,66.0,England and Wales: 1930-1949,IG3,1995
