ID,Price,Date,Postcode,Type,Newbuild,Ownership,Street Number,Flat Number,Street Name,Area,Town,City,County,PricePer,NumOfRms,HouseSize,EnergyEfficiency,BuildDate,Postcode Prefix,Year,Index of Multiple Deprivation,London zone,Nearest station,Distance to station,Average Income,IMD decile,PTAL2021,AI2021
{7769C4C0-0EFC-491F-A524-5DBD26E6BE10},74000,1995-01-04 00:00,N2 0SJ,F,,L,50A,,MANOR PARK ROAD,LONDON,LONDON,BARNET,GREATER LONDON,1174.60317460317,3.0,63.0,68.0,1929.0,N2,1995,26462,3,East Finchley,1.02758,66300,9,1b,2.52656015852639
{2A289E9C-E388-CDC8-E050-A8C063054829},45500,1995-01-10 00:00,N2 9EL,F,,L,36B,,FORTIS GREEN,,LONDON,BARNET,GREATER LONDON,1467.74193548387,2.0,31.0,71.0,1929.0,N2,1995,27057,3,East Finchley,0.362204,66300,9,3,12.949186574105
{7D21CEB1-13F8-4436-9A81-6A4322B6ACFB},55500,1995-01-12 00:00,N2 0LN,F,,L,87,,ELMSHURST CRESCENT,LONDON,LONDON,BARNET,GREATER LONDON,730.263157894737,3.0,76.0,58.0,1966.0,N2,1995,19391,3,East Finchley,0.661221,66300,6,1b,2.50081246201967
{F7EB186D-8FAF-4B8F-BAE2-634C00735D89},177000,1995-01-12 00:00,N2 0LX,S,,F,5,,TRINITY AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,1041.17647058824,7.0,170.0,55.0,1929.0,N2,1995,23760,3,East Finchley,0.796259,76600,8,1b,3.0096756710977
{F8D4C594-0F26-44F9-8318-E08C6CC8D015},101500,1995-01-13 00:00,N2 9NB,T,,F,1,,ANNINGTON ROAD,LONDON,LONDON,HARINGEY,GREATER LONDON,1115.38461538462,4.0,91.0,61.0,1929.0,N2,1995,28651,3,East Finchley,0.741427,70400,9,2,5.0798970205962
{F289F207-1373-4085-A47E-D4EF781585D6},142500,1995-01-16 00:00,N2 8AG,T,,F,103A,,HIGH ROAD,LONDON,LONDON,BARNET,GREATER LONDON,1936.14130434783,4.0,73.6,77.0,1929.0,N2,1995,26821,3,East Finchley,0.407392,66300,9,3,12.9488543406952
{8372E029-E4A7-4563-8BFD-D01398159569},67495,1995-01-19 00:00,N2 8JE,F,,L,1,FLAT 1,BRENDON GROVE,LONDON,LONDON,BARNET,GREATER LONDON,1250.13891461382,3.0,53.99,61.0,1995.0,N2,1995,26462,3,East Finchley,1.25049,66300,9,1b,2.54093706362807
{0DA02A36-A024-4AFB-9011-F076C48B40ED},77000,1995-01-20 00:00,N2 8BE,T,,F,34,,LEOPOLD ROAD,LONDON,LONDON,BARNET,GREATER LONDON,1069.44444444444,4.0,72.0,60.0,1929.0,N2,1995,26742,3,East Finchley,0.79479,66300,9,2,7.5027054423194
{B016E2D1-8ED5-40AC-9194-BD2D6024D053},70000,1995-01-24 00:00,N2 9DL,S,,F,76,,LINCOLN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,521.53181344062,6.0,134.22,52.0,1900.0,N2,1995,26821,3,East Finchley,0.434491,66300,9,3,11.9172278183165
{6D6B3958-DBD3-4255-858D-1AF54BDB45C9},1175000,1995-01-24 00:00,N2 0TX,D,,F,64,,WINNINGTON ROAD,LONDON,LONDON,BARNET,GREATER LONDON,979.166666666667,15.0,1200.0,69.0,1949.0,N2,1995,25629,3,East Finchley,1.37539,76600,8,1a,2.13218078833007
{75793DEB-A873-4330-AF41-996D8717C477},86500,1995-01-27 00:00,N2 9JJ,F,,L,61,,FORTIS GREEN,LONDON,LONDON,BARNET,GREATER LONDON,943.910955914448,3.0,91.64,33.0,1949.0,N2,1995,27057,3,East Finchley,0.42558,66300,9,3,14.2975585127477
{2BB8594F-8258-4258-9952-275055B939D1},92000,1995-01-27 00:00,N2 8DS,S,,F,60,,CHURCH LANE,LONDON,LONDON,BARNET,GREATER LONDON,1082.35294117647,3.0,85.0,39.0,1900.0,N2,1995,26742,3,East Finchley,0.846121,66300,9,1b,3.24034601372222
{C35366DF-CD76-4AD9-A5E7-740AF30ABD76},106550,1995-01-31 00:00,N2 8HN,T,,F,13,,SYLVESTER ROAD,LONDON,LONDON,BARNET,GREATER LONDON,996.539468761691,5.0,106.92,44.0,1929.0,N2,1995,7768,4,Finchley Central,1.33435,57100,3,1a,2.40318799721756
{34807372-70A1-493D-9139-FCE8C24B093B},98000,1995-01-31 00:00,N2 0EE,F,,L,HEATHFIELDE,FLAT 16,LYTTELTON ROAD,LONDON,LONDON,BARNET,GREATER LONDON,1282.72251308901,3.0,76.4,56.0,1975.0,N2,1995,28804,3,East Finchley,1.07454,76600,9,2,5.80168161497493
{C16DCAB4-B0A2-4B9B-AD0B-E548442069B6},123000,1995-02-03 00:00,N2 9PX,T,,F,42,,PARK HALL ROAD,LONDON,LONDON,BARNET,GREATER LONDON,981.330780277645,5.0,125.34,52.0,1929.0,N2,1995,27057,3,East Finchley,0.175517,66300,9,4,16.3397732352051
{5379601A-B45A-4CB1-B88A-8A94FE742817},100000,1995-02-03 00:00,N2 8BE,S,,F,1,,LEOPOLD ROAD,LONDON,LONDON,BARNET,GREATER LONDON,1388.88888888889,4.0,72.0,56.0,1900.0,N2,1995,26742,3,East Finchley,0.79479,66300,9,2,7.5027054423194
{372777B3-ADCB-4FBD-A1B5-343045968B57},59950,1995-02-09 00:00,N2 0TA,F,,L,SHERWOOD HALL,FLAT 14,EAST END ROAD,LONDON,LONDON,BARNET,GREATER LONDON,1199.0,3.0,50.0,69.0,1949.0,N2,1995,23760,3,East Finchley,0.956284,76600,8,1b,3.16544133248259
{2A289E9C-E4FB-CDC8-E050-A8C063054829},25000,1995-02-09 00:00,N2 0EH,D,,F,31,,KINGSLEY WAY,,LONDON,BARNET,GREATER LONDON,110.864745011086,10.0,225.5,57.0,1949.0,N2,1995,28804,3,East Finchley,1.1425,76600,9,1b,4.49489017176064
{FECC9509-0222-459B-B9D8-5EDD963C18BC},115000,1995-02-15 00:00,N2 0PY,T,,F,14,,HEATH VIEW CLOSE,LONDON,LONDON,BARNET,GREATER LONDON,1388.55348949529,3.0,82.82,56.0,1966.0,N2,1995,23760,3,East Finchley,1.00426,76600,8,1a,2.11541694408095
{6C313605-38DC-448A-B522-34B25B022131},56000,1995-02-20 00:00,N2 0NT,F,,L,8,,HIGHGATE EDGE,LONDON,LONDON,HARINGEY,GREATER LONDON,982.456140350877,2.0,57.0,68.0,1966.0,N2,1995,24362,3,East Finchley,0.389338,74500,8,3,14.2026435765002
{4D37B411-A835-480D-A467-CB0FDF349762},73500,1995-02-24 00:00,N2 8AS,F,,L,38,,KITCHENER ROAD,LONDON,LONDON,BARNET,GREATER LONDON,1030.27754415475,5.0,71.34,53.0,1929.0,N2,1995,19391,3,East Finchley,0.466573,66300,6,3,12.0122731318224
